epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.745,1.64743,6.41241,1.99968,0.0633,0.16438,0.04188,0.01295,1.9535,3.155,1.80912,0.00332842,0.00332842,0.00332842
2,293.618,1.21254,2.66683,1.65675,0.00836,0.95068,0.02758,0.01245,1.63344,3.01134,1.65597,0.0065958,0.0065958,0.0065958
3,590.383,1.25716,2.81927,1.69617,0.00952,0.93425,0.04673,0.01652,1.93837,2.88878,1.85268,0.00979718,0.00979718,0.00979718
4,879.114,1.28684,2.98242,1.71511,0.00746,0.95616,0.05274,0.02134,1.62597,2.99112,1.62213,0.009703,0.009703,0.009703
5,1168.03,1.20062,2.87456,1.63133,0.07608,0.50959,0.0791,0.03472,1.44519,2.82745,1.43232,0.009604,0.009604,0.009604
6,1465.38,1.14855,2.82314,1.5882,0.09857,0.26849,0.08818,0.0435,1.4307,2.763,1.38891,0.009505,0.009505,0.009505
7,1747.07,1.09981,2.74023,1.54405,0.04655,0.79726,0.11108,0.05154,1.54681,2.68507,1.48984,0.009406,0.009406,0.009406
8,2044.39,1.06465,2.69828,1.51557,0.13509,0.5075,0.15358,0.07499,1.33436,2.52536,1.24959,0.009307,0.009307,0.009307
9,2327.76,1.00985,2.57536,1.47134,0.20326,0.20822,0.15121,0.07552,1.32054,2.51121,1.33954,0.009208,0.009208,0.009208
10,2625.3,1.00432,2.59546,1.47186,0.18793,0.27123,0.15404,0.06857,1.49423,2.68487,1.43378,0.009109,0.009109,0.009109
11,2900.51,0.98643,2.51889,1.45122,0.20246,0.22192,0.13272,0.05839,1.26356,2.61788,1.20599,0.00901,0.00901,0.00901
12,3198.49,0.95508,2.48014,1.44844,0.26379,0.24051,0.17326,0.08799,1.38297,2.51999,1.26824,0.008911,0.008911,0.008911
13,3476.4,0.95524,2.41469,1.43895,0.25772,0.34795,0.23718,0.11846,1.26145,2.40633,1.28199,0.008812,0.008812,0.008812
14,3772.66,0.93141,2.41913,1.41425,0.25325,0.27945,0.19962,0.10521,1.2883,2.43168,1.32065,0.008713,0.008713,0.008713
15,4051.93,0.93389,2.43675,1.4125,0.20209,0.39726,0.1936,0.10645,1.21324,2.2556,1.24416,0.008614,0.008614,0.008614
16,4344.37,0.89251,2.37336,1.39502,0.35345,0.27945,0.26085,0.12949,1.3181,2.33516,1.3469,0.008515,0.008515,0.008515
17,4640.51,0.89394,2.38116,1.38889,0.25403,0.33699,0.2134,0.12495,1.2621,2.23211,1.18496,0.008416,0.008416,0.008416
18,4919.92,0.89076,2.28602,1.37892,0.37488,0.37534,0.32449,0.16716,1.1905,2.27698,1.30048,0.008317,0.008317,0.008317
19,5215.75,0.88473,2.31208,1.36841,0.41727,0.32329,0.30091,0.16312,1.24099,2.26621,1.23245,0.008218,0.008218,0.008218
20,5492.2,0.85714,2.32406,1.35189,0.32398,0.27397,0.21911,0.11942,1.28746,2.39685,1.29652,0.008119,0.008119,0.008119
21,5788.9,0.86638,2.26837,1.36134,0.40775,0.36986,0.3318,0.18271,1.2275,2.12058,1.22363,0.00802,0.00802,0.00802
22,6065.74,0.8553,2.22646,1.36117,0.32652,0.34521,0.28038,0.16705,1.21849,2.06943,1.18892,0.007921,0.007921,0.007921
23,6363.59,0.83831,2.23006,1.34393,0.39254,0.34521,0.31529,0.18167,1.21002,2.07262,1.21359,0.007822,0.007822,0.007822
24,6640.28,0.8434,2.2518,1.35063,0.4045,0.36712,0.34351,0.1982,1.21139,2.08984,1.23779,0.007723,0.007723,0.007723
25,6936.65,0.84949,2.22236,1.35396,0.49276,0.33801,0.35407,0.20456,1.32175,2.0988,1.2582,0.007624,0.007624,0.007624
26,7215.7,0.82548,2.23075,1.3234,0.39355,0.3726,0.32973,0.18593,1.23463,2.05045,1.23224,0.007525,0.007525,0.007525
27,7509.57,0.82453,2.15942,1.33074,0.39339,0.39088,0.33352,0.19112,1.20003,2.05717,1.16098,0.007426,0.007426,0.007426
28,7805.89,0.81654,2.16723,1.32855,0.43453,0.39178,0.35755,0.19989,1.18396,1.99444,1.20081,0.007327,0.007327,0.007327
29,8080.95,0.81269,2.17174,1.33003,0.4055,0.38082,0.33467,0.20163,1.1541,2.03883,1.13566,0.007228,0.007228,0.007228
30,8379.35,0.79582,2.10602,1.31401,0.39401,0.4,0.34885,0.19928,1.21785,2.02687,1.18687,0.007129,0.007129,0.007129
31,8657.99,0.79222,2.11584,1.31521,0.43886,0.4,0.37154,0.2188,1.1878,1.93972,1.1846,0.00703,0.00703,0.00703
32,8954.22,0.79357,2.11619,1.30114,0.42855,0.42325,0.3817,0.22522,1.1381,1.92741,1.14547,0.006931,0.006931,0.006931
33,9231.48,0.78903,2.05785,1.31609,0.43518,0.40274,0.38497,0.23067,1.18034,1.87911,1.15206,0.006832,0.006832,0.006832
34,9529.29,0.78006,2.05841,1.28736,0.47779,0.38082,0.38885,0.22895,1.16887,1.92952,1.15588,0.006733,0.006733,0.006733
35,9807.08,0.78628,2.05962,1.30581,0.51446,0.41803,0.40389,0.24547,1.16332,1.83698,1.12885,0.006634,0.006634,0.006634
36,10105,0.78486,2.06029,1.30783,0.46685,0.39726,0.38666,0.23821,1.16338,1.85449,1.13682,0.006535,0.006535,0.006535
37,10385.3,0.77889,2.08176,1.29247,0.48149,0.3863,0.37408,0.21721,1.15655,1.9594,1.08388,0.006436,0.006436,0.006436
38,10682.2,0.75816,2.0047,1.28438,0.44474,0.44107,0.41077,0.24851,1.13413,1.80808,1.13019,0.006337,0.006337,0.006337
39,10979.3,0.77159,2.01411,1.28853,0.46997,0.43562,0.41342,0.25305,1.17889,1.82696,1.10564,0.006238,0.006238,0.006238
40,11257.3,0.77263,1.99622,1.29006,0.45932,0.4274,0.41195,0.25669,1.10923,1.86852,1.09797,0.006139,0.006139,0.006139
41,11554.8,0.76417,1.98886,1.28848,0.45733,0.43562,0.42949,0.2615,1.14263,1.79276,1.11116,0.00604,0.00604,0.00604
42,11832.6,0.76843,2.00549,1.28957,0.45403,0.45795,0.4135,0.26466,1.145,1.80794,1.10874,0.005941,0.005941,0.005941
43,12131,0.76036,1.97861,1.28346,0.46335,0.43288,0.41009,0.26084,1.10674,1.84338,1.07877,0.005842,0.005842,0.005842
